node,degree,weighted_strength,degree_centrality,betweenness_centrality,closeness_centrality
864691135363217650_0,7,6.999999990015439,0.02953586497890295,0.0003462063759517177,0.18743270769678452
864691135373368264_0,22,21.99999997377648,0.09282700421940927,0.0223733959764306,0.2542946677523626
864691135373377480_0,54,53.99999993877557,0.22784810126582278,0.004994873467122496,0.351815438395259
864691135373707081_0,60,59.99999993719926,0.2531645569620253,0.014809220224399362,0.35937510897234715
864691135373718857_0,12,11.999999984049062,0.050632911392405056,0.0048156520856601865,0.20319807563389722
864691135382904555_0,53,52.99999994133941,0.22362869198312235,0.020510120663528447,0.3445672597912362
864691135382906091_0,58,57.99999993176961,0.24472573839662445,0.004519562016486292,0.3529576963121267
864691135383229419_0,63,62.999999919885944,0.26582278481012656,0.01490858905272109,0.38756139202900186
864691135385190997_0,10,9.99999998584714,0.04219409282700422,0.004081610715284614,0.20262995426679406
864691135385274965_0,51,50.999999931008205,0.2151898734177215,0.0031348390712815886,0.36976520566032317
864691135385351765_0,56,55.99999993640868,0.2362869198312236,0.014273620316266097,0.34621328173291405
864691135386396801_0,13,12.999999983035709,0.05485232067510548,0.016931116544922426,0.2020650008627045
864691135399690482_0,32,31.999999959315804,0.1350210970464135,0.0007782242884659433,0.3529576963121267
864691135404005358_0,40,39.99999995413875,0.16877637130801687,0.002274106172416097,0.31740429332594167
864691135409703410_0,62,61.99999992305558,0.26160337552742613,0.013082146979098276,0.3868717810111566
864691135415447994_0,57,56.99999992662063,0.24050632911392403,0.005798730802646877,0.37357721808981104
864691135415462586_0,60,59.99999992792914,0.2531645569620253,0.00346867637436303,0.36236990154711674
864691135415481530_0,47,46.999999946611325,0.19831223628691982,0.004283258839288903,0.32695028711018054
864691135428502832_0,38,37.999999947893535,0.16033755274261602,0.02871835080253557,0.3075274977769024
864691135437024754_0,66,65.99999992438806,0.27848101265822783,0.010245384343856107,0.38825346594333937
864691135440494664_0,49,48.99999994499934,0.20675105485232065,0.008120435920952048,0.3445672597912362
864691135454044778_0,41,40.999999945449744,0.1729957805907173,0.0053470113314543115,0.3546850586105547
864691135462239645_0,21,20.999999966558637,0.08860759493670885,0.0007073369760079225,0.30113842233832416
864691135462249117_0,10,9.999999986991012,0.04219409282700422,0.022029396175862928,0.18988815801595638
864691135462775102_0,31,30.999999954870432,0.13080168776371306,0.0011648266952637655,0.3206813288027582
864691135463499333_0,61,60.999999929017115,0.2573839662447257,0.013614265753261058,0.38549989526289014
